161,Gordon Biersch Brewery Restaurant - Buffalo,Store P102 Galleria Dr,Cheektowaga,New York,14225-5408,7166830050,http://www.craftworksrestaurants.com
162,Gordon Biersch Brewery Restaurant - Syracuse,304 Hiawatha Blvd West #J-101,Syracuse,New York,13290,3154780990,http://www.craftworksrestaurants.com
163,Great Adirondack Brewing Company,2442 Main St,Lake Placid,New York,12946-3300,5185231629,http://www.adksteakandseafood.com
164,Great Flats Brewing,151 Lafayette St,Schenectady,New York,12305-2051,5182800232,http://www.greatflatsbrewing.com
165,Great Life Brewing,,West Park,New York,12493,8453313700,http://www.greatlifebrewing.com
166,Great South Bay Brewery,25 Drexel Dr,Bay Shore,New York,11706-2234,6313928472,http://www.greatsouthbaybrewery.com
167,Green Wolf Brewing Co,315 Main St,Middleburgh,New York,12122-,5188276444,http://www.greenwolfbrew.com
168,Greenpoint Beer,7 N 15th St,Brooklyn,New York,11222-2838,9177501541,http://www.greenpointbeer.com
169,"Greenport Harbor Brewing Co, LLC",42155 Main Rd,Peconic,New York,11958-1502,6315139019,http://www.harborbrewing.com
170,Griffs Brewery,5324 W Ridge Rd,Spencerport,New York,14559-1101,5856173843,http://www.griffsbrewery.com
171,Grimm Artisanal Ales,990 Metropolitan Ave,Brooklyn,New York,11211-2607,,http://GrimmAles.com
172,Grist Iron Brewing Co.,4880 State Route 414,Burdett,New York,14818-9729,6078822739,http://www.gristironbrewing.com
173,Gun Hill Brewing Co,3227 Laconia Ave,Bronx,New York,10469-1403,7188810010,http://www.gunhillbrewing.com
174,Hamburg Brewing Company,6553 Boston State Rd,Hamburg,New York,14075-6630,7166493249,http://www.hamburgbrewing.com
175,Hank Hudson Brewing At Fairways of Halfmoon,17 Johnson Rd,Mechanicville,New York,12118-3505,5186641578,
176,Harbor Head Brewing Co,81 Fort Salonga Rd,Northport,New York,11768-2889,6318155588,http://www.harborheadbrew.com
177,Harlem Blue Beer,2214 Frederick Douglass Blvd Ste 267,New York,New York,10026-1123,,http://www.harlemblue.com
178,Harlem Brewing Co,2 W 123rd St,New York,New York,10027-5623,8885596735,http://www.harlembrewingcompany.com
179,Heartland Brewery,35 Union Sq W Frnt 1,New York,New York,10003-3200,2126453400,http://www.heartlandbrewery.com
180,Heavily Brewing Company,2471 Hayes Rd,Montour Falls,New York,14865,6075352739,http://www.heavilybrewingcompany.com
181,Helderberg Brewery,63 Huyck Rd,Rensselaerville,New York,12147-2108,5187975100,http://careyinstitute.org/programs/sustainable-communities/helderberg-brewery-taproom/
182,Helderberg Mountain Brewing Company,83 Main St,East Berne,New York,12059-2020,5189373606,http://www.helderbergmountainbrewingcompany.com
183,Heroes Brewing Company,543 Atlantic Ave,Rochester,New York,14609,5854345472,https://heroesbrewco.square.site
184,High Perch Brewing Company,1417 Kania Rd,Amsterdam,New York,12010-6610,,
185,Hill Country Farm Brewery,,Jamesville,New York,13078-9637,3157667885,http://Hillcountryfarmbrewery.com
186,Hofbrauhaus Buffalo,,Buffalo,New York,14221-4616,7165631781,http://www.facebook.com/Hofbrauhaus-Buffalo-476335022466386/
187,Honey Hollow Brewery,376 E. Honey Rd.,Earlton,New York,12058,5189665560,http://www.honeyhollowbrewery.com
188,Hop Barn Brewing,94 Maple Ave,Greenville,New York,12083-3311,5189564762,http://hopbarnbrewing.com
189,Hopshire Farm and Brewery,1771 Dryden Rd,Freeville,New York,13068-,6072791243,http://www.hopshire.com
190,Hudson Ale Works,17 Milton Ave,Highland,New York,12528-1409,8453842531,http://www.hudsonaleworks.com
191,Hudson Valley Brewery,7 E Main St,Beacon,New York,12508-3301,8452189156,http://www.hudsonvalleybrewery.com
192,Hyde Park Brewing Co,4076 Albany Post Rd,Hyde Park,New York,12538-1934,8452298277,http://www.hydeparkbrewing.com
